Mode,NLC,ASC,Station,Coverage,Source,Weekday (Mon-Thu) - Entries,Friday - Entries,Saturday - Entries,Sunday - Entries,Weekday (Mon-Thu) - Exits,Firday - Exits,Saturday - Exits,Sunday - Exits,En/Ex
LO,1398,HTEr,Hatch End,Station entry / exit,Gateline,958,992,697,408,926,962,706,430,"443,478"
LO,1434,HDLr,Headstone Lane,Station entry / exit,Manual Count,877,915,512,397,795,778,457,437,"384,932"
LO,6919,HIPr,Highams Park,Station entry / exit,Gateline,"3,924","3,811","2,814","1,651","3,610","3,430","2,463","1,604","1,735,398"
LO,603,HBYu,Highbury & Islington,LO boarding / alighting,Scaled,"25,792","23,029","23,730","16,297","25,895","19,473","22,374","13,523","12,291,964"
LO,6979,HMNr,Homerton,Station entry / exit,Gateline,"6,429","6,708","5,549","3,494","5,989","5,845","4,821","3,386","3,004,286"
LO,5418,HPAr,Honor Oak Park,Station entry / exit,Gateline,"3,532","3,482","2,936","1,892","3,321","3,087","2,663","1,922","1,640,297"
LO,1023,HOXr,Hoxton,Station entry / exit,Gateline,"3,809","3,875","3,207","2,733","3,881","4,162","3,629","3,211","1,949,719"
LO,9586,IMWr,Imperial Wharf,Station entry / exit,Gateline,"4,793","4,736","2,749","1,721","4,457","4,337","2,482","1,505","2,061,276"
LO,617,KGNu,Kensal Green,LO boarding / alighting,Scaled,784,793,676,496,975,954,858,714,"435,842"
LO,1448,KNRr,Kensal Rise,Station entry / exit,Manual Count,"4,598","3,854","3,868","2,397","4,364","3,457","3,635","2,375","2,095,470"
LO,618,OLYu,Kensington (Olympia),LO boarding / alighting,Scaled,"3,614","3,103","1,192","1,185","4,055","3,288","1,272","1,292","1,587,992"
LO,1449,KTWr,Kentish Town West,Station entry / exit,Manual Count,"3,211","3,884","2,808","1,972","3,228","3,883","2,812","1,987","1,629,280"
LO,620,KETu,Kenton,LO boarding / alighting,Scaled,989,929,516,494,"1,287","1,219",465,416,"496,919"
LO,621,KEWu,Kew Gardens,LO boarding / alighting,Scaled,"1,906","1,787","1,578","1,361","1,717","1,619","1,548","1,072","886,683"
LO,1415,KBNr,Kilburn High Road,Station entry / exit,Gateline,"1,102","1,195",928,677,"1,085","1,133",856,723,"539,192"
LO,7402,LEMr,Leyton Midland Road,Station entry / exit,Gateline,"2,137","2,145","1,678",962,"2,113","2,069","1,543",981,"997,076"
LO,7403,LERr,Leytonstone High Road,Station entry / exit,Gateline,"1,556","1,613","1,266",757,"1,462","1,523","1,142",707,"721,287"
LO,6965,LSTr,Liverpool Street NR,LO boarding / alighting,Manual Count,"13,227","12,187","9,832","6,799","13,209","12,555","10,535","6,617","6,209,630"
LO,6966,LOFr,London Fields,Station entry / exit,Scaled,"2,254","2,264","2,193","1,594","2,331","2,341","2,620","2,080","1,188,188"
LO,5150,NWXr,New Cross,LO boarding / alighting,Loadweigh,"3,054","3,124","2,970","2,030","3,056","2,908","2,897","2,184","1,532,792"
LO,5345,NXGr,New Cross Gate,LO boarding / alighting,Scaled,"5,157","5,365","5,076","2,994","6,095","5,830","4,598","3,218","2,724,966"
LO,659,NWBu,North Wembley,LO boarding / alighting,Scaled,717,710,439,317,656,654,392,316,"314,603"
LO,5376,NWDr,Norwood Junction,LO boarding / alighting,Scaled,"1,976","1,916","1,468","1,021","1,801","1,766","1,302",879,"886,919"
LO,5423,PMRr,Peckham Rye,LO boarding / alighting,Scaled,"3,826","3,945","4,288","3,131","4,716","4,943","4,950","3,879","2,241,738"
LO,5378,PNWr,Penge West,Station entry / exit,Manual Count,"1,164","1,266","1,186",757,"1,105","1,162",999,710,"572,881"
LO,680,QPKu,Queen's Park,LO boarding / alighting,Scaled,"2,240","2,237","1,969","1,539","2,239","2,206","1,708","1,631","1,104,025"
LO,5424,QRPr,Queens Road Peckham,Station entry / exit,Scaled,"2,352","1,919","2,411","1,675","2,311","1,867","2,373","1,753","1,158,467"
LO,6967,RECr,Rectory Road,Station entry / exit,Manual Count,"1,965","1,688","1,465","1,034","1,762","1,560","1,284","1,073","869,834"
LO,686,RMDu,Richmond,LO boarding / alighting,Loadweigh,"4,386","4,333","4,621","5,013","4,514","4,646","4,780","5,425","2,434,923"
LO,6886,RMFr,Romford,LO boarding / alighting,Scaled,863,856,435,297,"1,003","1,023",591,283,"413,924"
LO,1039,ROEr,Rotherhithe,Station entry / exit,Gateline,"1,796","1,944","1,708","1,205","1,610","1,666","1,455","1,157","860,347"
LO,698,SVSu,Seven Sisters,LO boarding / alighting,Manual Count,"10,750","11,372","9,463","7,066","9,936","10,175","8,477","6,475","5,132,396"
LO,1082,SDEr,Shadwell LO,Station entry / exit,Gateline,"5,279","5,733","5,079","3,423","5,403","5,703","4,754","3,442","2,678,672"
LO,9587,SPBr,Shepherd's Bush NR,Station entry / exit,Gateline,"9,045","9,472","8,784","5,501","9,074","9,685","8,974","5,507","4,551,302"
LO,1024,SDCr,Shoreditch High Street,Station entry / exit,Gateline,"8,209","8,647","9,213","6,663","8,745","10,760","11,795","6,829","4,601,311"
LO,6972,SLVr,Silver Street,Station entry / exit,Scaled,"3,556","3,465","2,412","1,846","3,630","3,635","2,453","1,949","1,682,406"
LO,1452,SATr,South Acton,Station entry / exit,Scaled,"1,592","1,618","1,501","1,327","1,684","1,629","1,422","1,398","831,678"
LO,1451,SOHr,South Hampstead,Station entry / exit,Scaled,855,862,634,574,829,868,660,574,"412,312"
